airline ID,name,iata,icao,country,active
1744,Cherokee Express,None,Cbm,United States,N
1745,Cherry Air,None,Ccy,United States,N
1746,Chesapeake Air Service,None,Cab,United States,N
1747,Chevron U.S.A,None,Cvr,United States,N
1748,Cheyenne Airways,None,Cya,United States,N
1749,Chicago Air,None,Cgo,United States,N
1750,Chicago Express,C8,Wdy,United States,N
1751,Chief Rat Flight Services,None,Rat,South Africa,N
1752,Chilchota Taxi Aereo,None,Cch,Mexico,N
1753,Chilcotin Caribou Aviation,None,Des,Canada,N
1754,Chilliwack Aviation,None,Cad,Canada,N
1755,Chim-Nir Aviation,None,Etn,Israel,N
1756,China Airlines,Ci,Cal,Taiwan,Y
1757,China Cargo Airlines,Ck,Ckk,China,N
1758,China Eastern Airlines,Mu,Ces,China,Y
1759,China Express Airlines,None,Hxa,China,N
1760,China Flying Dragon Aviation,None,Cfa,China,N
1761,China General Aviation Corporation,None,Cth,China,N
1762,China National Aviation Corporation,None,Cag,China,N
1763,China Northern Airlines,Cj,Cbf,China,N
1764,China Northwest Airlines,Wh,Cnw,China,N
1765,China Ocean Helicopter Corporation,None,Chc,China,N
1766,China Postal Airlines,8Y,Cyz,China,N
1767,China Southern Airlines,Cz,Csn,China,Y
1768,China Southwest Airlines,None,Cxn,China,N
1769,China United Airlines,Hr,Cua,China,Y
1770,China Xinhua Airlines,Xo,Cxh,China,N
1771,Yunnan Airlines,3Q,Cyh,China,Y
1772,Chinguetti Airlines,None,Cgu,Mauritania,N
1773,Chipola Aviation,None,Cep,United States,N
1774,Chippewa Air Commuter,None,Cpw,United States,N
1775,Chitaavia,X7,Chf,Russia,N
1776,Christman Air System,None,Cas,United States,N
1777,Christophorus Flugrettungsverein,None,Oec,Austria,N
1778,Chrome Air Services,None,Cho,United States,N
1779,Church Aircraft,None,Chu,United States,N
1780,Cielos Airlines,A2,Ciu,Peru,N
1781,Cimber Air,Qi,Cim,Denmark,Y
1782,Cirrus,None,Rru,Chile,N
1783,Cirrus Air,None,Nts,United States,N
1784,Cirrus Airlines,C9,Rus,Germany,Y
1785,Cirrus Middle East,None,Jti,Lebanon,N
1786,Citationshares,None,Fiv,United States,N
1787,Citibank,None,Xcx,United States,N
1788,Citic General Aviation,None,Hzx,China,N
1789,City Airline,Cf,Sdr,Sweden,Y
1790,City Connexion Airlines,G3,Cix,Burundi,Y
1791,City Of Bangor,None,Xbg,United States,N
1792,Cityjet,Wx,Bcy,Ireland,Y
1793,Cityair (Chester) Limited,None,Caq,United Kingdom,N
1794,Cityfly,None,Cii,Italy,N
1795,Ba Cityflyer,Cj,Cfe,United Kingdom,Y
1796,Cityline Hungary,None,Cnb,Hungary,N
1797,Citylink Airlines,None,Hsr,United States,N
1798,Civair Airways,None,Ciw,South Africa,N
1799,Civil Air Patrol South Carolina Wing,None,Bkr,United States,N
1800,Civil Air Transport,Ct,Cat,Taiwan,N
1801,Civil Aviation Authority,None,Cia,Slovakia,N
1802,Civil Aviation Authority Of New Zealand,None,Civ,New Zealand,N
1803,Civil Aviation Inspectorate Of The Czech Republic,None,Cba,Czech Republic,N
1804,Claessens International Limited,None,Fmc,United Kingdom,N
1805,Clark Aviation,None,Clk,United States,N
1806,Clasair,None,Csf,United Kingdom,N
1807,Clay Lacy Aviation,None,Cly,United States,N
1808,Click Airways,None,Cgk,Kyrgyzstan,Y
1809,Cloud 9 Air Charters,None,Clz,South Africa,N
1810,Clowes Estates Limited,None,Cld,United Kingdom,N
1811,Club 328,None,Sdj,United Kingdom,N
1812,Club Air,6P,Isg,Italy,N
1813,Coast Air,Bx,Cst,Norway,N
1814,Coastal Air,Dq,None,United States,Y
1815,Coastal Air Transport,None,Tcl,United States,N
1816,Coastal Airways,None,Cng,United States,N
1817,Coastal Travels,None,Csv,Tanzania,N
1818,Cohlmia Aviation,None,Chl,United States,N
1819,Colaereos,None,Olr,Ecuador,N
1820,Colemill Enterprises,None,Cle,United States,N
1821,Colgan Air,9L,Cjc,United States,Y
1822,Colibri Aviation,None,Cae,Canada,N
1823,Colt International,None,Ccx,United States,N
1824,Columbia Airlines,None,Col,Canada,N
